,0
usps self,1
E1,1
Com t,1
mo-pe,1
AMBULANCE`,1
almbulance,1
GR HS,1
"TRLR PLT,",1
�MBU,1
FLAT  BED,1
UPS Truck,1
FD NY,1
GOVT.,1
CMIXER,1
SEDONA,1
skate boar,1
fedex truc,1
usps  van,1
KW TR,1
DELV BR,1
EMS T,1
L1,1
high,1
FedEx Truc,1
2dr,1
BOX H,1
"USPS TRUC,",1
bucket tru,1
SKID-,1
CARAVAN,1
isuzu,1
430,1
RGR,1
MOVIE,1
E-Scoter,1
T880,1
USPS small,1
r/v,1
TOWIN,1
Hrse,1
FDNY285 En,1
Street Cle,1
ford econo,1
winne,1
Fire Appar,1
dark color,1
INTE TRUCK,1
SAFET,1
VAN/,1
INTERNATIO,1
police veh,1
VAM,1
scooter ga,1
FLAT-,1
UNKNOWN CA,1
TR/KI,1
DEIV,1
FORD TRANS,1
CHERR,1
Mini Van,1
Crane truc,1
C2,1
HOSRE,1
BOOM MOPED,1
Hearse,1
FOGLIFT,1
ASPHA,1
Ems t,1
D2,1
3DC-,1
REF G,1
G com,1
Garbage,1
C 1,1
VAN (TRANS,1
EMS bus,1
E - B,1
SCOOTER GA,1
UNKWOWN,1
ALUMI,1
Skid,1
SUBN TN,1
RUBBE,1
DOT EQUIPM,1
Isuzu,1
FDNY mecha,1
Utility tr,1
Cat 9,1
NYC FDNY #,1
engin,1
Pick Truck,1
16m,1
BROWN,1
USPS #7530,1
van a,1
Red moped,1
BUS M,1
SNOW PLOWE,1
I-haul,1
Tr,1
CAR TRAILE,1
HARVE,1
ACCEE,1
Na,1
box van,1
PASSANGER,1
TOW R,1
wesco,1
PALLE,1
fdny ambul,1
Ford f150,1
SLINGSHOOT,1
derelict v,1
RV motorho,1
Box Car,1
Mot S,1
CAT P,1
BUDGE,1
delivery w,1
del,1
ems bus,1
backhoe re,1
Electricun,1
GE/SC,1
EZ GO,1
TC,1
2YDSWHEELL,1
hook,1
FIRE BUS,1
Piggy back,1
Utility ca,1
VAN/B,1
fre,1
GSPC,1
trt,1
MARK,1
FIRE TURCK,1
Dirt bike,1
CITY VEHIC,1
conedison,1
del truck,1
Mopoed,1
Gas Moped,1
''lime mope,1
VAN/TRANSI,1
SEMI-TRUCK,1
GLP050VXEV,1
DL,1
ND,1
sub,1
NYPD TOW T,1
AMULA,1
e-sooter,1
nyc s,1
CMS-T,1
sweeper,1
van s,1
TRUCK VAN,1
access-a-r,1
transport,1
Cargo Truc,1
DSNY SWEEP,1
UK,1
Nypd,1
van c,1
USPS Vehic,1
WH,1
DSNY sanit,1
PENSKE BOX,1
2TON,1
BEYOND SCO,1
vn,1
UTLL,1
FREIH,1
F650,1
YELLOWPOWE,1
uhual,1
COM TRANS,1
Pro master,1
TRAILER/TR,1
MOTORIZED,1
TIR,1
crane boom,1
MVP,1
3 doo,1
Van T,1
NYC DOT,1
MOWER,1
renta,1
GENIE,1
APORT,1
nyc EMS,1
USPS MAILT,1
EXCABATOR,1
Sierra,1
Post offic,1
ELECTRIC B,1
f550,1
gover,1
JUNST,1
van truck,1
PRIVA,1
